test AUC (pungent),Number of parameters,edge dim,node dim,globals dim,learn edges,learn globals,learn nodes,aggregation type,n layers,n learn,Message passing
0.5567575097084045,448,5,12,25,False,False,False,max,1,0,None
0.5567575097084045,448,5,12,25,False,False,False,mean,1,0,None
0.5567575097084045,448,5,12,25,False,False,False,sum,1,0,None
0.6523385643959045,568,10,12,25,False,False,False,max,1,0,None
0.6523385643959045,568,10,12,25,False,False,False,mean,1,0,None
0.6523385643959045,568,10,12,25,False,False,False,sum,1,0,None
0.6589670181274414,958,20,12,25,False,False,False,max,1,0,None
0.6589670181274414,958,20,12,25,False,False,False,mean,1,0,None
0.6589670181274414,958,20,12,25,False,False,False,sum,1,0,None
0.5900430679321289,573,5,12,50,False,False,False,max,1,0,None
0.5900430679321289,573,5,12,50,False,False,False,mean,1,0,None
0.5900430679321289,573,5,12,50,False,False,False,sum,1,0,None
0.636298418045044,693,10,12,50,False,False,False,max,1,0,None
0.636298418045044,693,10,12,50,False,False,False,mean,1,0,None
0.636298418045044,693,10,12,50,False,False,False,sum,1,0,None
0.6587087512016296,1083,20,12,50,False,False,False,max,1,0,None
0.6587087512016296,1083,20,12,50,False,False,False,mean,1,0,None
0.6587087512016296,1083,20,12,50,False,False,False,sum,1,0,None
0.597991406917572,823,5,12,100,False,False,False,max,1,0,None
0.597991406917572,823,5,12,100,False,False,False,mean,1,0,None
0.597991406917572,823,5,12,100,False,False,False,sum,1,0,None
0.636728823184967,943,10,12,100,False,False,False,max,1,0,None
0.636728823184967,943,10,12,100,False,False,False,mean,1,0,None
0.636728823184967,943,10,12,100,False,False,False,sum,1,0,None
0.6554663181304932,1333,20,12,100,False,False,False,max,1,0,None
0.6554663181304932,1333,20,12,100,False,False,False,mean,1,0,None
0.6554663181304932,1333,20,12,100,False,False,False,sum,1,0,None
0.6026111841201782,568,5,12,25,True,False,False,max,1,1,edges
0.6026111841201782,568,5,12,25,True,False,False,mean,1,1,edges
0.6026111841201782,568,5,12,25,True,False,False,sum,1,1,edges
0.6337158679962158,808,10,12,25,True,False,False,max,1,1,edges
0.6337158679962158,808,10,12,25,True,False,False,mean,1,1,edges
0.6337158679962158,808,10,12,25,True,False,False,sum,1,1,edges
0.6558393239974976,1438,20,12,25,True,False,False,max,1,1,edges
0.6558393239974976,1438,20,12,25,True,False,False,mean,1,1,edges
0.6558393239974976,1438,20,12,25,True,False,False,sum,1,1,edges
0.6138594150543213,693,5,12,50,True,False,False,max,1,1,edges
0.6138594150543213,693,5,12,50,True,False,False,mean,1,1,edges
0.6138594150543213,693,5,12,50,True,False,False,sum,1,1,edges
0.6432137489318848,933,10,12,50,True,False,False,max,1,1,edges
0.6432137489318848,933,10,12,50,True,False,False,mean,1,1,edges
0.6432137489318848,933,10,12,50,True,False,False,sum,1,1,edges
0.6547201871871948,1563,20,12,50,True,False,False,max,1,1,edges
0.6547201871871948,1563,20,12,50,True,False,False,mean,1,1,edges
0.6547201871871948,1563,20,12,50,True,False,False,sum,1,1,edges
